Student_ID,Attendance (%),Internal Test 1 (out of 40),Internal Test 2 (out of 40),Assignment Score (out of 10),Daily Study Hours,Final Exam Marks (out of 100),Exam_Completion_Time(minutes)
S1662,75,25,31,8,3,50,164
S1663,83,32,37,9,3,77,101
S1664,85,31,27,7,3,57,163
S1665,93,35,37,8,3,73,105
S1666,86,30,26,7,2,53,161
S1667,84,33,36,7,4,72,165
S1668,73,36,34,8,2,65,113
S1669,71,26,35,7,2,47,117
S1670,85,32,37,8,3,67,97
S1671,82,36,29,7,3,66,125
S1672,86,31,28,7,3,66,179
S1673,80,32,32,7,2,60,97
S1674,88,32,34,7,2,76,147
S1675,77,24,33,6,2,46,149
S1676,93,38,33,8,3,76,139
S1677,94,39,34,9,3,81,117
S1678,60,23,16,5,2,31,130
S1679,83,33,27,7,2,54,153
S1680,74,30,31,7,3,62,116
S1681,84,33,30,9,3,62,152
S1682,73,34,28,9,2,62,106
S1683,66,32,21,5,3,40,162
S1684,85,36,26,7,2,60,122
S1685,88,23,27,6,3,53,173
S1686,86,34,31,8,3,62,166
S1687,100,40,40,10,3,86,118
S1688,91,28,31,6,3,59,102
S1689,82,29,35,7,3,61,135
S1690,77,28,27,6,2,55,124
S1691,81,29,34,7,3,61,95
S1692,81,30,29,6,2,54,171
S1693,89,33,32,7,4,73,158
S1694,82,29,32,8,4,69,136
S1695,87,38,29,8,3,65,114
S1696,88,31,38,8,4,75,155
S1697,86,34,33,8,3,67,99
S1698,81,32,29,8,3,48,145
S1699,88,27,36,8,3,63,119
S1700,94,33,34,6,3,65,94
S1701,68,31,27,7,3,48,122
S1702,99,33,35,8,3,75,154
S1703,78,34,31,8,2,56,107
S1704,73,26,29,7,3,53,138
S1705,91,37,29,8,2,66,100
S1706,87,32,39,8,3,75,174
S1707,86,35,29,7,3,60,115
S1708,90,28,33,7,2,67,152
S1709,90,31,30,8,2,60,178
S1710,89,30,33,8,4,68,175
S1711,85,40,34,8,2,76,148
S1712,60,28,26,5,3,40,116
S1713,90,37,37,9,3,83,138
S1714,89,35,33,7,3,64,166
S1715,80,28,36,8,2,59,122
S1716,80,32,34,8,3,62,90
S1717,89,38,31,8,3,74,110
S1718,81,34,37,8,2,73,144
S1719,74,30,29,6,3,58,95
S1720,74,31,31,7,2,49,170
S1721,87,28,30,6,2,54,158
S1722,87,26,37,8,2,60,94
S1723,95,37,27,9,4,68,92
S1724,77,30,28,7,3,47,142
S1725,92,26,33,6,3,59,112
S1726,84,29,27,7,3,53,142
S1727,76,25,27,7,2,47,126
S1728,87,40,39,9,2,76,163
S1729,89,40,40,8,3,80,163
S1730,98,34,37,8,3,77,172
S1731,76,23,29,6,2,39,106
S1732,72,28,24,6,3,45,174
S1733,92,29,28,6,2,61,167
S1734,80,32,30,8,3,58,162
S1735,86,25,37,7,4,63,90
S1736,82,32,30,7,3,64,140
S1737,86,32,28,7,2,62,134
S1738,75,32,28,7,2,60,166
S1739,100,39,34,9,3,84,93
S1740,82,28,40,7,3,68,151
S1741,83,40,36,8,2,72,154
S1742,77,27,29,7,2,52,121
S1743,85,31,38,9,3,67,123
S1744,88,35,33,7,4,72,161
S1745,87,33,34,9,3,75,128
S1746,83,34,28,6,2,55,115
S1747,78,33,22,7,3,59,123
S1748,88,30,37,8,3,65,143
S1749,82,28,28,6,3,53,92
S1750,74,21,35,7,2,49,139
S1751,78,24,30,6,3,52,101
S1752,81,32,36,7,2,74,154
S1753,81,29,28,7,3,59,143
S1754,63,22,27,6,2,44,94
S1755,88,32,39,9,3,78,146
S1756,86,35,34,8,3,67,106
S1757,80,30,31,6,2,50,136
S1758,87,34,24,8,2,65,112
S1759,85,32,30,8,3,60,168
S1760,82,32,32,8,3,62,174
S1761,82,36,38,9,3,81,103
S1762,81,26,35,6,3,54,155
S1763,87,39,29,8,3,73,164
S1764,84,25,31,8,3,60,140
S1765,91,27,36,7,3,58,127
S1766,84,36,34,9,2,66,153
S1767,81,25,26,6,3,53,127
S1768,89,39,34,8,2,68,139
S1769,84,33,35,7,3,64,171
S1770,81,30,36,8,3,63,119
S1771,78,27,30,6,3,63,168
S1772,93,40,27,8,4,73,140
S1773,91,29,35,8,2,62,152
S1774,86,40,33,8,3,72,141
S1775,78,28,32,7,3,59,127
S1776,100,40,40,9,4,87,177
S1777,97,40,30,9,4,75,168
S1778,94,32,37,7,2,61,119
S1779,88,39,36,7,3,76,140
S1780,83,34,30,6,3,59,170
S1781,91,36,35,8,3,78,94
S1782,87,34,35,8,2,73,118
S1783,87,21,40,8,3,62,93
S1784,82,30,34,8,3,52,99
S1785,85,24,27,5,2,51,145
S1786,80,28,21,6,3,48,106
S1787,92,32,39,8,3,76,163
S1788,83,23,34,7,3,55,106
S1789,100,38,26,7,3,70,173
S1790,81,30,25,7,3,64,177
S1791,86,32,37,7,2,65,158
S1792,99,30,36,7,3,73,123
S1793,78,23,35,8,3,63,95
S1794,94,40,24,7,3,68,142
S1795,77,36,31,8,3,67,155
S1796,86,38,29,8,3,76,166
S1797,84,36,35,8,3,75,132
S1798,84,38,26,8,2,57,164
S1799,97,40,36,9,3,81,112
S1800,96,28,34,7,3,76,144
S1801,91,28,35,7,3,69,169
S1802,84,35,38,9,3,73,164
S1803,72,31,34,8,2,61,105
S1804,91,34,30,7,3,69,97
S1805,85,33,28,8,3,59,93
S1806,79,34,28,8,2,54,93
S1807,87,27,23,6,3,55,145
S1808,87,31,40,7,4,78,114
S1809,84,28,40,7,2,60,156
S1810,89,38,36,9,3,76,156
S1811,100,36,38,8,3,77,116
S1812,82,33,29,6,3,68,121
S1813,94,34,31,8,2,66,139
S1814,100,39,35,9,3,83,150
S1815,89,40,32,8,3,75,140
S1816,87,34,34,8,4,72,108
S1817,94,28,34,8,2,62,110
S1818,86,26,36,7,3,62,94
S1819,88,28,33,7,4,65,171
S1820,74,32,24,6,3,57,131
S1821,84,31,32,8,3,71,150
S1822,97,33,31,8,4,68,111
S1823,86,31,31,8,4,67,110
S1824,100,39,39,9,3,86,159
S1825,86,32,34,7,2,59,90
S1826,92,37,34,9,2,75,94
S1827,79,32,31,7,3,62,101
S1828,84,32,37,8,3,70,179
S1829,82,34,29,7,3,66,135
S1830,86,32,33,7,3,67,123
S1831,91,35,34,8,3,77,138
S1832,81,30,32,8,3,64,167
S1833,76,26,26,6,3,50,179
S1834,85,27,23,5,2,42,134
S1835,91,33,30,8,4,70,116
S1836,97,39,31,8,3,78,162
S1837,76,23,26,5,3,42,115
S1838,70,31,37,9,2,65,136
S1839,81,32,29,6,2,60,175
S1840,96,40,37,8,3,84,145
S1841,76,29,29,7,3,49,152
S1842,81,33,32,8,3,52,137
S1843,98,32,40,8,4,83,150
S1844,83,34,33,9,2,69,170
S1845,85,35,31,8,3,68,115
S1846,87,40,29,8,2,63,125
S1847,91,34,33,8,3,74,90
S1848,84,30,40,8,3,67,97
S1849,70,28,29,7,3,61,141
S1850,84,32,32,8,2,61,168
S1851,88,33,27,7,3,62,136
S1852,62,22,22,5,3,36,145
S1853,95,34,40,9,3,63,175
S1854,83,36,28,8,2,67,103
S1855,72,26,28,7,2,42,179
S1856,81,31,37,7,3,57,117
S1857,99,40,37,9,3,81,176
S1858,91,34,34,7,3,60,167
S1859,86,27,34,8,3,66,177
S1860,84,38,34,7,3,71,91
S1861,67,22,27,5,3,41,115
S1862,85,28,34,7,2,47,103
S1863,93,37,39,9,2,79,148
S1864,78,26,26,5,1,48,145
S1865,90,29,35,8,4,71,96
S1866,79,27,32,7,3,62,92
S1867,90,36,32,6,3,69,112
S1868,74,29,26,6,2,42,107
S1869,88,32,31,7,3,64,127
S1870,74,37,27,8,2,59,104
S1871,72,31,29,8,2,53,153
S1872,81,30,33,7,3,58,178
S1873,83,28,33,8,3,61,117
S1874,86,33,38,7,4,82,163
S1875,77,31,32,8,2,62,128
S1876,81,25,37,9,3,72,146
S1877,84,37,29,7,3,56,106
S1878,94,36,35,8,2,68,175
S1879,94,36,36,8,3,81,179
S1880,86,35,38,8,2,73,133
S1881,97,36,38,8,2,79,114
S1882,84,27,23,7,2,51,106
S1883,100,40,38,8,4,88,102
S1884,96,40,33,9,3,71,173
S1885,82,28,20,5,2,46,114
S1886,80,30,29,7,3,62,157
S1887,83,26,29,6,3,51,99
S1888,94,40,33,8,3,77,156
S1889,79,29,33,8,2,52,107
S1890,90,36,39,9,3,73,175
S1891,87,31,30,8,4,73,123
S1892,96,38,34,8,3,74,97
S1893,77,31,29,6,3,57,129
S1894,82,37,33,9,3,65,172
S1895,79,25,31,7,3,48,131
S1896,94,30,32,7,2,65,130
S1897,100,39,38,8,4,82,95
S1898,90,33,38,8,2,73,141
S1899,92,33,30,7,3,60,115
S1900,80,28,32,8,3,62,153
S1901,95,36,30,8,3,76,148
S1902,78,27,33,7,2,51,145
S1903,85,28,38,8,3,68,148
S1904,80,30,35,7,3,63,159
S1905,83,21,29,6,2,54,122
S1906,89,29,35,7,3,78,142
S1907,96,37,31,7,4,71,111
S1908,76,32,35,9,2,69,110
S1909,79,29,37,8,3,61,159
S1910,87,31,29,7,2,53,159
S1911,84,28,32,8,3,67,93
S1912,88,34,33,8,2,69,164
S1913,79,29,35,8,3,59,151
S1914,81,25,26,6,3,48,151
S1915,77,34,35,9,4,72,113
S1916,89,39,34,8,3,80,144
S1917,81,37,36,10,3,76,98
S1918,90,37,29,8,4,72,92
S1919,91,34,32,8,3,71,120
S1920,87,34,31,7,3,63,129
S1921,95,31,31,7,3,63,125
S1922,91,25,34,6,4,69,113
S1923,96,32,40,9,4,74,95
S1924,79,19,30,7,2,43,155
S1925,93,34,29,8,2,69,173
S1926,88,33,36,8,2,66,164
S1927,84,39,39,9,4,77,93
S1928,99,36,38,9,3,87,168
S1929,79,23,31,7,3,57,95
S1930,85,30,32,7,3,63,140
S1931,87,32,21,6,2,55,151
S1932,83,35,33,8,3,66,146
S1933,92,36,30,8,3,72,155
S1934,98,40,36,8,4,90,168
S1935,94,36,30,7,3,68,164
S1936,76,31,30,8,4,56,97
S1937,79,26,27,6,3,44,115
S1938,93,35,40,8,3,75,140
S1939,78,32,32,7,3,65,134
S1940,84,35,31,8,2,62,133
S1941,77,26,24,7,2,45,94
S1942,69,31,28,7,3,54,159
S1943,71,31,33,8,3,59,115
S1944,79,30,34,7,3,65,157
S1945,90,32,27,7,2,54,108
S1946,86,33,30,8,3,68,173
S1947,87,31,33,9,3,68,109
S1948,88,35,35,9,3,76,101
S1949,84,29,33,8,2,66,136
S1950,94,31,40,8,3,70,90
S1951,86,26,35,6,3,58,179
S1952,86,38,33,8,4,83,103
S1953,98,35,33,8,3,77,153
S1954,82,35,31,7,3,71,127
S1955,87,23,35,7,3,56,126
S1956,87,34,34,8,2,63,100
S1957,96,34,26,8,3,65,166
S1958,94,34,32,6,3,75,92
S1959,76,40,21,7,3,55,122
S1960,78,18,30,6,3,49,95
S1961,86,40,35,7,3,73,139
S1962,86,36,21,7,2,61,99
S1963,100,29,40,8,2,82,94
S1964,90,38,40,8,3,82,112
S1965,85,35,34,8,3,68,99
S1966,90,35,36,7,4,78,133
S1967,74,26,30,6,2,50,91
S1968,88,28,32,6,3,53,102
S1969,90,30,35,7,3,68,129
S1970,68,25,28,6,2,45,91
S1971,78,36,26,7,3,60,173
S1972,84,30,36,8,3,67,154
S1973,77,32,26,6,2,52,152
S1974,84,39,29,8,2,64,162
S1975,85,32,38,10,3,68,106
S1976,74,29,31,8,2,56,98
S1977,85,34,25,6,2,60,164
S1978,89,36,35,9,3,69,104
S1979,97,35,40,8,2,71,113
S1980,73,33,30,7,3,58,127
S1981,77,31,36,8,2,63,124
S1982,89,32,34,7,3,59,138
S1983,100,33,34,8,3,70,158
S1984,81,36,35,9,2,79,151
S1985,86,33,34,8,4,74,149
S1986,81,32,33,8,3,62,139
S1987,68,26,25,5,2,46,167
S1988,77,29,36,7,4,63,164
S1989,91,29,40,8,2,71,98
S1990,83,30,24,7,3,54,123
S1991,82,35,29,8,3,71,165
S1992,84,29,28,7,3,65,124
S1993,81,30,28,6,1,52,90
S1994,72,23,28,7,2,41,129
S1995,75,30,27,7,2,51,153
S1996,83,32,38,8,3,66,111
S1997,82,32,31,8,3,71,149
S1998,72,27,23,6,2,43,153
S1999,90,30,33,7,3,70,161
S2000,92,37,33,8,2,70,100
S2001,92,35,32,8,3,77,103
S2002,86,33,35,9,2,66,149
S2003,94,40,40,10,3,84,119
S2004,82,21,26,6,2,44,124
S2005,75,28,30,8,3,55,174
S2006,77,37,37,9,3,66,126
S2007,100,40,40,8,3,100,94
S2008,81,31,32,8,3,59,172
S2009,76,29,34,8,3,61,167
S2010,85,28,33,8,3,67,115
S2011,94,33,33,9,3,70,151
S2012,89,40,29,8,3,68,93
S2013,85,31,33,6,3,67,178
S2014,92,34,27,6,2,58,131
S2015,85,30,35,8,3,67,178
S2016,76,26,21,7,2,48,107
S2017,78,36,28,8,3,63,129
S2018,91,31,35,7,3,71,161
S2019,74,38,28,8,4,65,128
S2020,81,25,30,7,3,58,103
S2021,90,30,39,8,3,72,121
S2022,80,32,35,8,2,53,140
S2023,94,38,32,8,3,73,127
S2024,80,29,32,5,3,50,112
S2025,79,30,26,7,3,53,152
S2026,96,37,32,8,2,76,104
S2027,74,30,27,7,2,43,114
S2028,65,23,25,6,2,38,106
S2029,78,34,33,7,3,70,155
S2030,85,33,34,8,4,72,167
S2031,85,27,28,6,2,53,142
S2032,92,34,38,8,2,74,140
S2033,85,35,40,9,4,86,128
S2034,76,27,32,7,3,57,140
S2035,82,28,40,7,3,69,159
S2036,77,35,27,7,3,67,95
S2037,79,37,30,8,3,67,156
S2038,91,39,31,8,3,82,96
S2039,85,32,28,7,3,58,140
S2040,86,33,39,8,3,77,161
S2041,98,40,30,7,3,73,131
S2042,87,31,33,8,3,64,153
S2043,76,21,29,5,3,41,104
S2044,79,39,29,8,3,63,118
S2045,85,30,32,7,4,62,122
S2046,73,29,28,6,2,50,116
S2047,94,34,33,6,3,70,125
S2048,79,31,27,8,3,68,118
S2049,75,28,26,5,3,51,127
S2050,86,39,26,7,3,63,146
S2051,99,33,33,7,2,69,116
S2052,89,31,38,9,2,69,144
S2053,94,37,35,8,3,82,122
S2054,86,30,30,8,3,58,157
S2055,82,35,29,7,3,66,175
S2056,84,22,34,6,3,52,155
S2057,87,39,28,8,3,82,99
S2058,90,36,35,8,3,76,94
S2059,77,25,28,6,2,42,163
S2060,80,34,33,7,3,63,127
S2061,93,35,36,9,3,81,102
S2062,99,36,40,9,2,85,120
S2063,99,40,40,9,4,94,136
S2064,100,32,35,8,3,75,177
S2065,96,32,40,8,3,76,141
S2066,68,22,26,5,1,39,145
S2067,94,30,40,7,3,68,104
S2068,78,34,30,7,3,65,118
S2069,90,27,21,6,3,51,97
S2070,77,30,33,7,3,60,94
S2071,88,24,37,6,2,56,118
S2072,89,37,39,10,3,89,136
S2073,91,30,36,9,3,73,157
S2074,74,25,28,6,3,38,165
S2075,90,39,33,8,3,71,134
S2076,89,36,39,9,3,85,91
S2077,78,29,23,7,2,53,116
S2078,100,32,37,7,3,78,125
S2079,88,35,36,8,4,83,125
S2080,80,35,33,6,4,58,115
S2081,83,25,29,6,3,58,132
S2082,91,37,40,10,4,86,116
S2083,76,32,23,6,2,49,158
S2084,74,36,29,7,2,54,109
S2085,88,30,33,7,3,67,100
S2086,76,30,30,7,3,48,163
S2087,100,37,40,10,3,86,127
S2088,92,30,29,9,3,65,95
S2089,93,32,35,6,2,66,161
S2090,94,36,38,7,3,79,112
S2091,86,32,32,7,2,61,136
S2092,78,29,34,8,3,64,179
S2093,80,34,25,6,3,56,135
S2094,92,36,33,7,3,72,101
S2095,80,25,39,7,3,61,179
S2096,75,28,24,5,2,37,102
S2097,92,40,40,8,2,75,151
S2098,98,39,33,7,3,78,171
S2099,75,27,25,6,4,45,178
S2100,90,32,32,7,3,63,149
S2101,87,29,26,7,3,50,132
S2102,91,37,29,7,3,71,165
S2103,87,36,30,9,3,70,157
S2104,89,34,39,9,3,73,94
S2105,87,32,32,8,2,64,126
S2106,95,38,40,10,3,81,161
S2107,89,29,38,9,3,75,120
S2108,82,33,25,6,4,59,98
S2109,69,27,25,6,2,42,140
S2110,88,36,34,8,3,76,118
S2111,81,24,30,6,3,54,167
S2112,78,33,30,7,3,66,129
S2113,80,32,29,8,3,53,130
S2114,89,32,39,8,3,72,175
S2115,98,37,33,8,4,74,100
S2116,97,30,32,8,3,63,112
S2117,99,37,40,8,3,79,90
S2118,88,40,34,8,3,68,135
S2119,81,35,28,8,2,58,110
S2120,82,31,33,7,3,66,179
S2121,83,29,32,6,3,55,125
S2122,90,29,34,8,2,66,143
S2123,84,37,32,8,2,61,176
S2124,85,27,40,7,3,66,146
S2125,87,32,39,8,3,70,90
S2126,85,33,35,9,4,81,152
S2127,71,22,33,7,2,40,143
S2128,89,38,31,7,3,61,144
S2129,92,36,31,8,3,65,129
S2130,89,33,39,8,3,70,104
S2131,86,27,22,7,2,51,110
S2132,71,28,26,6,3,49,136
S2133,100,37,35,9,3,79,162
S2134,76,33,30,6,2,55,142
S2135,81,39,29,8,3,72,98
S2136,82,27,39,7,4,77,163
S2137,95,34,34,8,4,76,141
S2138,85,32,39,8,2,66,146
S2139,84,30,21,7,2,53,115
S2140,83,32,34,8,3,63,130
S2141,83,28,27,6,3,55,124
S2142,88,36,30,8,3,60,152
S2143,86,37,29,8,3,69,114
S2144,85,33,24,8,3,67,179
S2145,97,34,40,8,4,86,164
S2146,84,31,39,8,3,69,127
S2147,100,33,30,8,3,68,91
S2148,78,29,36,8,3,68,96
S2149,78,31,35,9,3,66,171
S2150,100,40,39,9,3,89,123
S2151,85,30,28,7,3,63,106
S2152,93,31,35,8,3,68,132
S2153,76,34,37,8,3,65,148
S2154,86,33,34,8,2,60,140
S2155,83,40,30,8,3,69,143
S2156,84,32,32,8,3,72,113
S2157,93,40,35,8,2,76,114
S2158,85,39,30,8,3,61,160
S2159,86,32,31,8,3,68,141
S2160,92,30,35,7,3,76,159
S2161,86,34,40,9,2,78,177
S2162,100,40,37,8,4,82,122
S2163,92,37,31,8,2,67,138
S2164,84,28,31,7,2,53,118
S2165,93,32,40,9,3,75,152
S2166,93,31,31,7,3,67,111
S2167,84,36,32,8,2,69,115
S2168,85,27,32,7,3,65,117
S2169,94,37,36,8,3,74,174
S2170,84,27,29,6,2,53,138
S2171,76,28,26,6,2,48,160
S2172,85,27,32,7,2,52,170
S2173,81,28,31,7,3,60,173
S2174,95,34,40,7,4,81,138
S2175,93,33,37,7,3,76,109
S2176,88,40,40,10,3,90,175
S2177,73,23,26,6,2,41,152
S2178,82,35,33,9,3,72,150
S2179,86,36,35,7,3,66,138
S2180,83,37,38,8,4,82,160
S2181,86,32,29,6,2,59,90
S2182,73,30,23,7,3,49,102
S2183,100,40,28,7,3,83,176
S2184,95,36,40,10,3,81,140
S2185,84,31,30,6,3,66,145
S2186,100,37,38,7,3,75,172
S2187,78,32,34,8,3,65,151
S2188,90,36,29,8,2,69,121
S2189,83,36,22,8,3,51,119
S2190,97,34,34,8,3,71,118
S2191,91,34,28,9,2,65,138
S2192,97,40,33,9,2,70,134
S2193,87,25,40,7,3,66,119
S2194,68,21,26,5,1,26,105
S2195,85,33,35,9,3,72,129
S2196,87,37,33,8,4,76,108
S2197,81,32,35,8,3,72,107
S2198,78,36,33,9,3,54,90
S2199,95,34,34,8,2,68,167
S2200,94,32,39,8,3,74,136
S2201,77,28,26,7,3,43,155
S2202,73,30,28,6,3,54,127
S2203,91,36,37,8,3,68,140
S2204,82,26,28,5,2,43,152
S2205,70,19,21,6,2,32,93
S2206,73,30,35,7,3,60,90
S2207,85,39,24,8,3,66,97
S2208,93,35,32,9,3,72,118
S2209,73,33,35,7,3,61,144
S2210,86,32,27,6,2,56,92
S2211,100,33,39,8,3,77,121
S2212,69,33,26,8,3,62,99
S2213,75,29,26,6,2,48,163
S2214,78,26,27,6,3,51,172
S2215,75,26,31,7,2,46,123
S2216,100,40,36,8,3,91,176
S2217,83,27,34,7,2,58,144
S2218,84,27,34,8,2,58,121
S2219,86,29,35,8,3,67,139
S2220,60,23,34,8,2,48,96
S2221,77,27,28,8,3,50,97
S2222,97,40,35,9,3,78,154
S2223,94,37,34,8,3,73,146
S2224,82,25,29,6,3,52,156
S2225,77,21,31,8,3,59,177
S2226,81,37,33,8,3,68,176
S2227,93,28,31,6,3,62,148
S2228,87,24,35,7,3,56,161
S2229,93,34,35,8,3,77,143
S2230,77,31,39,7,3,62,156
S2231,84,26,28,6,2,59,140
S2232,97,37,35,9,3,82,97
S2233,78,27,38,8,1,56,123
S2234,72,28,32,7,3,55,124
S2235,95,38,38,8,3,84,177
S2236,86,35,31,8,3,66,167
S2237,87,31,32,8,3,70,121
S2238,75,29,28,6,2,47,135
S2239,78,32,26,6,3,55,105
S2240,83,37,30,7,3,64,157
S2241,76,30,33,8,3,61,126
S2242,95,40,37,9,3,76,143
S2243,99,33,37,9,3,76,174
S2244,91,38,32,8,2,66,103
S2245,79,32,36,8,3,66,144
S2246,88,40,34,9,3,82,137
S2247,73,27,33,6,3,51,171
S2248,91,28,29,7,3,62,96
S2249,88,34,29,6,2,65,163
S2250,82,29,28,7,2,51,96
S2251,90,36,34,7,3,69,122
S2252,81,25,33,6,3,60,112
S2253,87,32,33,8,2,64,174
S2254,100,36,37,7,4,88,108
S2255,99,39,34,8,4,93,108
S2256,85,35,24,7,2,59,125
S2257,81,29,32,8,2,59,118
S2258,84,30,36,7,3,66,149
S2259,80,28,31,7,2,58,171
S2260,83,33,32,8,3,78,91
S2261,76,31,25,7,2,49,90
S2262,87,30,25,6,3,54,136
S2263,88,32,35,7,4,75,158
S2264,75,32,38,7,3,63,109
S2265,87,30,38,8,3,67,100
S2266,85,28,40,7,4,74,91
S2267,86,34,33,8,2,73,156
S2268,88,30,40,8,3,86,176
S2269,89,33,31,8,2,55,101
S2270,94,34,40,9,4,81,109
S2271,97,28,40,7,4,77,94
S2272,93,35,35,8,4,74,126
S2273,84,35,40,9,3,82,127
S2274,81,25,36,7,2,61,98
S2275,88,28,31,8,3,64,142
S2276,89,30,31,7,2,68,133
S2277,84,28,29,8,3,66,175
S2278,99,33,36,9,3,71,113
S2279,84,30,28,6,3,62,170
S2280,91,38,36,9,3,80,163
S2281,87,33,29,7,3,63,119
S2282,84,27,32,6,2,53,148
S2283,78,30,33,8,2,62,176
S2284,81,32,32,7,3,62,170
S2285,95,34,36,8,3,68,170
S2286,72,28,25,5,3,43,103
S2287,87,31,40,7,2,69,98
S2288,86,34,31,8,3,67,129
S2289,70,23,24,6,3,37,155
S2290,77,23,31,6,3,45,114
S2291,91,33,32,9,3,70,162
S2292,86,31,36,7,3,69,111
S2293,93,29,39,8,2,74,93
S2294,80,28,35,6,3,68,115
S2295,89,33,40,8,5,85,147
S2296,83,37,33,8,3,71,118
S2297,75,28,26,7,3,54,176
S2298,72,31,29,6,3,54,126
S2299,90,39,35,9,3,75,164
S2300,75,33,27,6,2,58,159
S2301,79,29,31,6,3,56,107
S2302,86,37,23,7,2,53,174
S2303,69,30,25,7,2,50,131
S2304,73,32,29,8,3,48,130
S2305,75,28,23,7,4,50,127
S2306,84,36,27,8,2,63,123
S2307,96,37,34,9,3,76,106
S2308,88,36,32,7,2,67,126
S2309,87,30,39,8,3,77,114
S2310,89,29,36,8,3,66,165
S2311,100,40,32,10,4,84,176
S2312,75,27,28,6,2,49,175
S2313,90,35,34,8,4,78,174
S2314,86,40,38,9,3,80,116
S2315,93,36,36,9,3,83,146
S2316,92,38,32,8,3,74,120
S2317,94,39,40,9,2,81,95
S2318,86,33,32,7,3,67,129
S2319,85,37,29,7,3,75,101
S2320,85,35,35,7,3,69,142
S2321,92,38,35,8,4,80,160
S2322,79,34,33,8,3,65,99
S2323,87,30,35,9,3,64,134
S2324,82,34,34,7,3,69,106
S2325,85,26,37,6,3,51,115
S2326,85,36,26,6,3,60,174
S2327,90,35,37,8,3,78,151
S2328,82,26,27,7,3,49,135
S2329,82,32,30,8,4,69,153
S2330,90,33,35,9,2,71,91
